tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.43E+18,04/09/2021 12:10,,en,214,Twitter Web App,https://mobile.twitter.com,"RT @TheBlueGem3: Prior to Stampede AB had 30 cases, 30! We could have been Covid zero but we lacked leadership to do so. Fast forward &amp; our…",16/07/2016 00:19,Tammy 💪🍁💪,1960,🍁✌🍁,Canada,#ResignKenney,15:49.9,Canada,-26.7986,153.1289
1.43E+18,04/09/2021 12:08,ResignKenney,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"A genius summary:
Why @jkenney needs to #ResignKenney : https://t.co/ofi8yFPc5P",12/10/2011 19:15,Mike,1373,"Importer, exporter, english tutor, longboarder, maple syrup farmer, songwriter, guitar modifier, photographer, videographer, cook, emoticon model, fully vaxxed!","Edmonton, CA",#ResignKenney,15:49.9,Canada,-36.1333,144.75
1.43E+18,04/09/2021 12:03,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"As someone who works with high risk youth, the fact that we are excluding people under 18 is just more proof that… https://t.co/CzsCTenn9i",11/02/2012 15:41,Alley OGrady,215,Story-teller. YEG mama. Explorer. Learner. Reader. Political observer. Social advocate. She/her. All opinions are my own.,Edmonton Alberta,#ResignKenney,15:49.9,Canada,-32.1806,152.5117
1.43E+18,04/09/2021 11:57,ResignKenney,en,37,Twitter for iPhone,http://twitter.com/download/iphone,RT @TheBlueGem3: Good Morning #ResignKenney,12/10/2011 19:15,Mike,1373,"Importer, exporter, english tutor, longboarder, maple syrup farmer, songwriter, guitar modifier, photographer, videographer, cook, emoticon model, fully vaxxed!","Edmonton, CA",#ResignKenney,15:49.9,Canada,-34.3,148.3
1.43E+18,04/09/2021 11:56,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"@HangryMale So, she’s selectively using other jurisdictions’ data that she likes because it’s the least she can do… https://t.co/YMQUTILabO",12/10/2011 19:15,Mike,1373,"Importer, exporter, english tutor, longboarder, maple syrup farmer, songwriter, guitar modifier, photographer, videographer, cook, emoticon model, fully vaxxed!","Edmonton, CA",#ResignKenney,15:49.9,Canada,-32.6125,149.5872
1.43E+18,04/09/2021 11:47,,en,214,Twitter for Android,http://twitter.com/download/android,"RT @TheBlueGem3: Prior to Stampede AB had 30 cases, 30! We could have been Covid zero but we lacked leadership to do so. Fast forward &amp; our…",07/07/2011 16:24,Jan Brown,248,"I'm a retired lawyer, current runner & writer interested in what life's about - with little patience for science-deniers, anti-vaxxers, anti-maskers, & idiots.","Nova Scotia, Canada",#ResignKenney,15:49.9,Canada,-28.8333,153.5333
1.43E+18,04/09/2021 11:46,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"@gurlfromthebus The irony:
No money for dedicated health care workers, yet money for those protesting those same he… https://t.co/6r2AEeGYRp",12/10/2011 19:15,Mike,1373,"Importer, exporter, english tutor, longboarder, maple syrup farmer, songwriter, guitar modifier, photographer, videographer, cook, emoticon model, fully vaxxed!","Edmonton, CA",#ResignKenney,15:49.9,Canada,-26.6269,152.9591
1.43E+18,04/09/2021 11:44,,en,7,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NightsWatchAB: Well, turns out nurses from other units are now being randomly selected each shift to work ICU. FFS this was avoidable!…",22/03/2011 06:03,Bubs 🇨🇦,4381,"Mom, wife, RN, opinions are my own, and I do not represent any nursing organizations. No DMs. Canada rules. 🎸 #BLM #EveryChildMatters",,#ResignKenney,15:49.9,Canada,-28.8333,153.5333
1.43E+18,04/09/2021 11:42,ResignKenney,en,32,Twitter for Android,http://twitter.com/download/android,RT @MerlinofCanada: This is the we are pissed at Jason Kenney look. #ResignKenney https://t.co/yR5MvNO9Ez,28/11/2012 23:48,🇨🇦 Merlin 🇨🇦 Double Vaxed Still wearing N95,9839,"Vaccines alone are not enough to stop #Delta we need public health measures right now, masking, do not open schools #N95Now #VoteLiberal",Canada,#ResignKenney,15:49.9,Canada,-36.75,144.2667
1.43E+18,04/09/2021 11:39,"ResignHinshaw, ResignKenney, ResignShandro",und,1,Twitter for Android,http://twitter.com/download/android,RT @demandsbetter: #ResignHinshaw #ResignKenney #ResignShandro,29/08/2012 16:01,Dorothy Hermary,1312,"MacEwan University Graduate: Bachelor of Arts Degree, Holistic Health Diploma. Mother of a blended family, granny of 18 plus, believer in possibilities.",Edmonton Alberta Canada,#ResignKenney,15:49.9,Canada,-26.7986,153.1289
1.43E+18,04/09/2021 11:38,,en,214,Twitter for iPad,http://twitter.com/#!/download/ipad,"RT @TheBlueGem3: Prior to Stampede AB had 30 cases, 30! We could have been Covid zero but we lacked leadership to do so. Fast forward &amp; our…",26/05/2014 16:38,catherine dickson,770,,,#ResignKenney,15:49.9,Canada,-29.465,149.8344
1.43E+18,04/09/2021 11:29,,en,1,Twitter for Android,http://twitter.com/download/android,"RT @mllp1962: @mynamesnotgordy "" ... the UCP has lost contact with Alberta opinion."" Hahaha ... Bumbles never cared about Alberta's or Albe…",07/05/2021 00:13,ItsJustMe-Carrie G,199,,,#ResignKenney,15:49.9,Canada,-38.1958,146.5403
1.43E+18,04/09/2021 11:27,"UCP, ResignHinshaw, ResignKenney, ResignShandro, ableg",en,0,Twitter for iPhone,http://twitter.com/download/iphone,She’s become one of them. #UCP stupid gas rubbed off on her. #ResignHinshaw #ResignKenney #ResignShandro #ableg https://t.co/LfjVP74Acw,15/06/2009 19:08,Darren LaRon,1345,"Mostly sports, music, goodwill, volunteering, local news w/sprinkling of politics. Living in Blackfoot Territory. Love our Bulls & Hurricanes!",southern Alberta,#ResignKenney,15:49.9,Canada,-38.25,144.5167
1.43E+18,04/09/2021 11:25,"ResignKenney, ResignHinshaw",en,11,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EveryAlbertan: 🤣🤣🤣🤣🤣🤣🤣
Omg. Gonna be watching this on repeat tonight to feel better.
#ResignKenney #ResignHinshaw",03/10/2017 02:08,ǝʎǝsʇɐʞ,380,👁‍🗨I see 👁‍🗨 💜 She/ Her 💜                              Special Interest Group,Canada,#ResignKenney,15:49.9,Canada,-37.5608,143.8475
1.43E+18,04/09/2021 11:24,TheUCPWay,en,5,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EveryAlbertan: Erm, @UCPCaucus.
There IS another stone unturned that appears to work well....
But it would 100% NOT be #TheUCPWay to op…",15/06/2009 19:08,Darren LaRon,1345,"Mostly sports, music, goodwill, volunteering, local news w/sprinkling of politics. Living in Blackfoot Territory. Love our Bulls & Hurricanes!",southern Alberta,#ResignKenney,15:49.9,Canada,-32.9167,151.75
1.43E+18,04/09/2021 11:21,,en,13,Twitter for iPhone,http://twitter.com/download/iphone,"RT @KerrLumley: “We’ve left no stone unturned.” - @jkenney 
Except for the one where the unvaxxed bear the restrictions and we have a vacci…",15/06/2009 19:08,Darren LaRon,1345,"Mostly sports, music, goodwill, volunteering, local news w/sprinkling of politics. Living in Blackfoot Territory. Love our Bulls & Hurricanes!",southern Alberta,#ResignKenney,15:49.9,Canada,-33.8678,151.21
1.43E+18,04/09/2021 11:20,,en,16,Twitter for iPhone,http://twitter.com/download/iphone,RT @janjette: Do you honestly think these people are going to be bribed with $100? Take away their ability to go into a liquor store or Tim…,15/06/2009 19:08,Darren LaRon,1345,"Mostly sports, music, goodwill, volunteering, local news w/sprinkling of politics. Living in Blackfoot Territory. Love our Bulls & Hurricanes!",southern Alberta,#ResignKenney,15:49.9,Canada,-36.75,144.2667
1.43E+18,04/09/2021 11:20,,en,71,Twitter for iPhone,http://twitter.com/download/iphone,RT @TheBlueGem3: Kenney is 3 weeks too late with the mask mandate. My crystal ball says in two weeks the UCP will have no choice but to imp…,15/06/2009 19:08,Darren LaRon,1345,"Mostly sports, music, goodwill, volunteering, local news w/sprinkling of politics. Living in Blackfoot Territory. Love our Bulls & Hurricanes!",southern Alberta,#ResignKenney,15:49.9,Canada,-34.9275,138.6
1.43E+18,04/09/2021 11:17,"ResignKenney, ResignHinshaw",en,11,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EveryAlbertan: 🤣🤣🤣🤣🤣🤣🤣
Omg. Gonna be watching this on repeat tonight to feel better.
#ResignKenney #ResignHinshaw",13/10/2011 16:34,Jillian Nicole,147,somewhere between not happy and not sad 〰️,"Calgary, Alberta",#ResignKenney,15:49.9,Canada,-19.25,146.8167
1.43E+18,04/09/2021 11:15,"ResignKenney, ResignHinshaw",en,11,Twitter for Android,http://twitter.com/download/android,"RT @EveryAlbertan: 🤣🤣🤣🤣🤣🤣🤣
Omg. Gonna be watching this on repeat tonight to feel better.
#ResignKenney #ResignHinshaw",18/10/2018 13:58,Addie 🍁,4577,"Scapegoat 🐐 , nature 🌿, animals 🐕 , Aspergers , anti fascist , #FiretheUCP, humor 😂 , empath , pics are mine, NFL 🏈 🌞🌲🐦🌾🐛⛺🎣 🌻 she ( her )","Alberta, Canada",#ResignKenney,15:49.9,Canada,-37.981,145.215
1.43E+18,04/09/2021 11:06,,en,43,Twitter for iPhone,http://twitter.com/download/iphone,"RT @thekimberlyiest: So, let me get this straight... we are going to cut the wages of nurses, and pay anti-vaxxers? Did I get that right?
#…",30/03/2010 17:48,Just Steve,224,Mostly tweets about sports or gaming.,Canada,#ResignKenney,15:49.9,Canada,-34.5667,146.4
1.43E+18,04/09/2021 11:00,OpenForSummer,en,49,Twitter Web App,https://mobile.twitter.com,"RT @PaulMitchell_AB: Alberta's #OpenForSummer has just been flattened by the Kenney UCP government.

Masks for everyone.

Delayed medical p…",27/08/2021 21:00,Joe Jameson,118,,,#ResignKenney,15:49.9,Canada,-20.0765,146.2614
1.43E+18,04/09/2021 10:59,OpenForSummer,en,49,Twitter for Android,http://twitter.com/download/android,"RT @PaulMitchell_AB: Alberta's #OpenForSummer has just been flattened by the Kenney UCP government.

Masks for everyone.

Delayed medical p…",21/01/2020 15:05,Alberta-Leonidas,9654,Albertan looking for freedom from left in all its forms,,#ResignKenney,15:49.9,Canada,-31.9559,115.8606
1.43E+18,04/09/2021 10:59,,en,214,Twitter for iPhone,http://twitter.com/download/iphone,"RT @TheBlueGem3: Prior to Stampede AB had 30 cases, 30! We could have been Covid zero but we lacked leadership to do so. Fast forward &amp; our…",13/02/2021 04:16,Heather Morrow she/her,209,Canadian. Writer. Voaden Playwriting Prize finalist. Semi-finalist at Comox Valley International Film Festival. Looking for collaborators to match my crazy.,"Edmonton, Alberta, Canada",#ResignKenney,15:49.9,Canada,-38.15,144.35
1.43E+18,04/09/2021 10:54,,en,61,Twitter for iPhone,http://twitter.com/download/iphone,"RT @cjmelenchuk: 'Alberta is currently home to 38% of the country's active COVID-19 cases, even though it makes up less than 12% of Canada'…",04/02/2017 02:21,Shawna little knock,1222,"🇨🇦 singer, Wpg Jets fan, lived in Toronto,Vancouver and Winnipeg. My bucket list includes travelling to every country. ❤️early retirement!",,#ResignKenney,15:49.9,Canada,-29.465,149.8344
1.43E+18,04/09/2021 10:47,"ResignKenney, ResignHinshaw, ResignShandro",und,0,Twitter Web App,https://mobile.twitter.com,"@joececiyyc @jkenney #ResignKenney 
#ResignHinshaw 
#ResignShandro",04/12/2020 21:47,Lenisgotthis,163,,,#ResignKenney,15:49.9,Canada,-33.42,149.5778
1.43E+18,04/09/2021 10:44,"GiveawayAudi, LaCasaDePapel, Manifs4septembre, manifestation4septembre, DutchGP",en,0,Twitter for iPad,http://twitter.com/#!/download/ipad,"Facebook are growing 
#GiveawayAudi #LaCasaDePapel #Manifs4septembre #manifestation4septembre #DutchGP… https://t.co/eOXMXP6vw3",07/01/2010 00:38,Katty Pe,0,,Lalaland!,#ResignKenney,15:49.9,Canada,-31.55,115.634
